"","sentences","name","country","page","languages"
"61","standard data collection instruments were used at the community level to collect information from leaders, user groups, and key informants in each of the 8 7 watershed villages. data included a range of issues that characterized the village and the watershed groups. this included multiple indicators for the level and success of collective action. the indicators span the types of group actions described above and are aggregated to develop indices of the level and effectiveness of collective action. using these indices, the analysis investigates the determinants of the level of collective action and how this in turn influences its effectiveness in terms of changes in natural resource conditions and livelihoods of resource users. along with other factors hypothesized to influence the success of collective action, the study analyzes how various facets of collective action determine outcomes such as improvement in soil and water conditions, and other natural resources on private and common lands. ","pdfs/results/Collective action for poverty reduction/11.txt","8","11","en"
"7","this first-stage effect of collective action is captured by constructing an aggregate performance index for diverse outcomes defining changes in resource conditions and benefits derived from watershed management activities. in the second stage, collective action in watershed management is expected to improve the well being of the community and participants. this is the key incentive for stimulating greater participation and private and community investments in watershed activities. to measure this effect, information solicited from communities on various indicators of poverty and welfare changes within the watershed is used. these changes are those that respondents consider to be primarily attributable or driven by the integrated watershed management interventions. the study then tests whether the level of collective action in fact is associated with these positive welfare changes within the community. ","pdfs/results/Collective action for poverty reduction/11.txt","8","11","en"
"18","level of collective action two sets of variables that capture the level of collective action in watershed management activities are considered. the index for enabling institutions includes rules adopted by the watershed community, percentage of watershed association members making cash and labor contributions, and attendance of meetings and fund-raising events. the organizational performance index includes proportion of smoothly running user groups, self-help groups, number of watershed association meetings per year, and percentage of members attending meetings.","pdfs/results/Collective action for poverty reduction/12.txt","8","12","en"
"22","success of collective action a mix of quantitative and qualitative indicators measures the effectiveness of collective action in watershed management in terms of achieving various community objectives, including number of improved or well-managed communal tube drill and open wells, check-dams, ponds, tanks, area of community forests, and share of communal and private land treated with collective conservation practices. in the second level of the analysis, seven indicators capture the changes in the level of asset endowments or poverty profiles in the surveyed communities, including increases in the number of households owning livestock and land, self-sufficiency in food staples, income growth, and reduction in seasonal and permanent outmigration.","pdfs/results/Collective action for poverty reduction/12.txt","8","12","en"
"32","this study shows that collective action in watershed management can be captured through a set of variables that indicate the capacity of communities to design and enforce certain common institutional arrangements, and their ability to mobilize local financial and labor resources for watershed investments. the index for enabling institutions is positively associated with rainfall, number of castes, number of phones, and female employment in watershed works in the community, and decreases with larger groups and degraded land in the community, market access, and urbanization. the organizational performance index decreased with rainfall, size of the group, number of seasonal migrants, and distance from the seat of the local administration, but increased with area of the village, flow of information within the village, share of land under village commons, equitable distribution of benefits and preference given for employment of the rural poor and female workers. in most watershed communities the level of collective action is very limited only 1 0%1 5% of watershed communities were able to significantly harness the potential of collective action to achieve desired economic and environmental objectives. there is a strong correlation between higher levels of collective action and higher performance of communities in facilitating resource-improving investments, especially water-harvesting structures and good management of these resources. the effectiveness of watershed groups in terms of their performance on this index depended on other variables such as rainfall, access to education and other social services, governance structures, resource degradation or scarcity problems, and the quality of the road linking the village. on the other hand, the correlation between higher collective action and changes in the index of poverty parameters was not statistically significant. ","pdfs/results/Collective action for poverty reduction/12.txt","8","12","en"
"51","changes in watershed natural resource stocks did not have a significant effect on changes in household welfare, indicating that the indirect effects of collective action on the poorest segments of the community are still limited. this offers evidence that the links between collective action and poverty are not always straightforward as distribution of rights and other factors will condition how effectively the poor may benefit from improved natural resource conditions within the watershed.","pdfs/results/Collective action for poverty reduction/12.txt","8","12","en"
"62","overall, the results indicate that collective action has made a significant contribution in terms of improving the investment and management of critical jointly held natural resource assets, but evidence is still lacking on its effects on improving the asset endowments of the resource poor and reducing poverty levels within the semi-arid watershed villages included in this study. to improve active participation of the resource users and the poverty impacts of watershed programs, there is a need to promote pro poor interventions and institutional arrangements that enhance equitable sharing of both costs and benefits. future research needs to investigate how effective local institutions for watershed collective action emerge and how such institutions adapt during the post-project phase and influence the propensity for sustainable community management of local investments. without effective and adaptable local institutions, the long-term sustainability of watershed investments will remain questionable.","pdfs/results/Collective action for poverty reduction/12.txt","8","12","en"
"19","despite increased awareness of the institutional founda-tions of development and natural resource management, development and conservation interventions continue to be carried out with an uncritical view of equity issues. the shortcomings lie not only with practitioners, but within research as well. research on the institutional dimensions of development and rm continues to emphasize problems rather than solutions. this research tries to address these shortcomings by integrating institutional analysis for problem identification and targeting of interventions with institutional interventions for development of good practice. ","pdfs/results/Collective action for poverty reduction/13.txt","8","13","en"
"33","the research was conducted under the rubric of the african highlands initiative ahi, an eco-regional program of the cgiar, which aims to improve livelihoods and arrest natural resource degradation in the intensively cultivated highlands of eastern and central africa. ah works with interdisciplinary teams of scientists and development partners to field test new approaches and synthesize results regionally. unlike watershed management programs that focus primarily on soil and water conservation, ah fosters an approach to integrate all components of the production system and landscape. this requires that trade offs and synergies between diverse goals be made explicit and managed. it also acknowledges that rm is inherently political decisions about which management goals to foster lead to unequal benefits and often favor some groups at the expense of others.","pdfs/results/Collective action for poverty reduction/13.txt","8","13","en"
"42","this study reports on findings from the institutional research associated with integrated social, biophysical, and institutional interventions. the primary objective was to develop and document successful approaches for facilitating equitable collective action processes and negotiated rm solutions.","pdfs/results/Collective action for poverty reduction/13.txt","8","13","en"
"52","the research was conducted in four sites, two in ethiopia and two in uganda. all are highland micro-watersheds characterized by smallholder farming systems, high population density, clear evidence of natural resource degradation, and their representativeness of larger highland areas within each country. these sites have each served for 51 0 years as benchmark sites for the ahi. each site is home to one or more ethnic groups with a long history of occupation of the area and limited in-migration from other groups or areas. ","pdfs/results/Collective action for poverty reduction/13.txt","8","13","en"
"63","in each site, the research began with a situation analysis, using focus group discussions to identify local and external institutions and the participants, beneficiaries, and nature of benefits derived from each. household interviews were then used to quantify levels and variation in household assets and participation or involvement with local and external institutions. second, site and national stakeholder workshops were conducted to share findings and determine action research priorities. the workshops shared feedback from the situation analysis, identified and prioritized rm issues requiring collective action and changes in institutional practice, and developed preliminary action plans for prioritized topics. third, site teams conducted action research both local and higher-levelto test strategies to support solutions to identified problems. the final step was to evaluate outcomes and impacts from the action research intervention through a participatory methodology.","pdfs/results/Collective action for poverty reduction/13.txt","8","13","en"
"81","local communities were found to have a rich array of collective action institutions, which in turn provide a variety of economic and social support functions. while some of these were seen to support some groups more than others, most forms of collective action were found to play largely positive roles. however, practices of formal support agencies were found to be biased by wealth, gender, levels of political influence, and other factors, exacerbating inequities over time. ","pdfs/results/Collective action for poverty reduction/13.txt","8","13","en"
"91","local forms of collective action seldom emphasize common solutions to felt rm problems, other than provision of inputs labor, capital, land. action research findings have illustrated the potential for improving livelihoods and fostering more sustainable use of natural resources by catalyzing collective action on rm where it is absent. effective collective action seems to require use of both informal negotiation support processes and formal bylaw reforms and enforcement. negotiated solutions and bylaw reforms create stakeholder buy-in, which reduces ambiguity and makes people feel more accountable to other parties when brought to account for their actions. a combination of formal and informal mechanisms seems to be needed to revitalize natural resource governance and related livelihood and environmental service outcomes. external agents such as ngos or local government also have an important role to play, including information provision, community mobilization, facilitation, advocacy, monitoring, and negotiation support. ","pdfs/results/Collective action for poverty reduction/13.txt","8","13","en"
"101","strategies to improve rm at farm and landscape levels proved to be more effective when more equitable decisionmaking processes were used that explicitly acknowledge diverse stakes. however, given the divergence of these stakes, bylaws also played a fundamental role in holding each party accountable to resolutions reached through negotiations. ","pdfs/results/Collective action for poverty reduction/13.txt","8","13","en"
"111","external development institutions often unintentionally increase existing inequities by working only with active community members and failing to establish mechanisms for equitable access to project benefits. innovations to identify and overcome these biases are sorely needed.","pdfs/results/Collective action for poverty reduction/13.txt","8","13","en"
"110","adapting bylaws to local conditions and stakeholder priorities also induced marked livelihood improvements by enabling collective action and technology adoption. however, participatory bylaw negotiations did not reduce the need for bylaw enforcement. rather, participation made offenders feel more responsible to agreements once accused, increasing the effectiveness of informal efforts to increase compliance. ","pdfs/results/Collective action for poverty reduction/14.txt","8","14","en"
"34"," collective action serves critical development and social support functions in local communities. external institutions should seek to build upon local institutions that contribute most to livelihood goals, in particular for women and poorer households. part of this effort should be oriented toward linking technology dissemination with low-risk forms of credit and diversification of assets of the poor.","pdfs/results/Collective action for poverty reduction/14.txt","8","14","en"
"43"," external development institutions often unintentionally increase existing inequities by working only with active community members and failing to establish mechanisms for equitable access to project benefits. innovations to identify and overcome these biases and socially-disaggregated monitoring of interventions are sorely needed.","pdfs/results/Collective action for poverty reduction/14.txt","8","14","en"
"53"," local forms of collective action emphasize enhancing buying power and safety net functions, leaving many common rm problems unaddressed. external support for horizontal negotiations among local resource users is needed to support collective solutions to rm problems that remain unaddressed despite their negative livelihood consequences.","pdfs/results/Collective action for poverty reduction/14.txt","8","14","en"
"64"," extension and development organizations must consider the political dimensions of nrm. there are winners and losers from any given development intervention, and there are diverse interests and stakes on any given issue. organizations must therefore learn to foster more equitable solutions to development and rm challenges through stakeholder identification, negotiation support, and socially-disaggregated monitoring of interventions.","pdfs/results/Collective action for poverty reduction/14.txt","8","14","en"
"71"," ngos, local government, and other development actors need to get involved in natural resource policy formulation and implementation processes. their facilitation skills are important for fostering more equitable and participatory natural resource governance processes since there are close links between negotiation support, technological innovation, and rules and regulations on nrm.","pdfs/results/Collective action for poverty reduction/14.txt","8","14","en"
"82"," fostering collective action to address felt community needs requires informal negotiation support, formal bylaw reforms, and forms of enforcement adapted to local social realities. participatory bylaw reforms create stakeholder buy-in, which reduces the cost of enforcement and reduces ambiguity. neither formal nor informal mechanisms would be fully effective without the other.","pdfs/results/Collective action for poverty reduction/14.txt","8","14","en"
"92"," the external agent, whether an ngo, community-based organization, or local government, can help bear the transaction costs of organizing collective action by providing information and mobilizing communities. since rules restrict certain land use behaviors seen to harm other stakeholders, technological alternatives can also help landowners to bear the livelihood costs of good governance. ","pdfs/results/Collective action for poverty reduction/14.txt","8","14","en"
"102"," policymakers must seek ways to build upon the strengths of local institutions and the crucial social support functions they provide, in particular for women, the poor, and other marginalized groups. they must also seek ways to facilitate the participation of poorer households by assisting them in bridging the assets gap that hinders their ability to invest.","pdfs/results/Collective action for poverty reduction/14.txt","8","14","en"
"112"," many national natural resource policies exist, although many are not followed. participatory bylaw reforms suggest an interest in improved natural resource governance among local residents. more attention should be paid to building the soft skills and processes required to create community buy-in to good governance, and to enforcement mechanisms that are effective, while providing alternatives technologies, cost sharing among stakeholders where policies restrict livelihoods options.","pdfs/results/Collective action for poverty reduction/14.txt","8","14","en"
"131"," the partitioning of mandates between research, extension, and law enforcement agencies causes these issues to be treated separately and important synergies to be lost. mechanisms and incentives for institutional cooperation toward more equitable and negotiated solutions to rm are needed to harvest the potential of technology-governance synergies. ","pdfs/results/Collective action for poverty reduction/14.txt","8","14","en"
"14"," local residents can formulate rm bylaws that address their own felt needs, but bylaw enforcement by communities themselves is more of a challenge. communities want local government to play a role in the enforcement of bylaws. this should be taken into account in the process of local government reforms in the region so that participatory governance processes can be institutionalized in the region.","pdfs/results/Collective action for poverty reduction/14.txt","8","14","en"
"15"," empirical research on the institutional aspects of development has advanced understanding of the pitfalls of development practice and the characteristics of local institutions. two fundamental gaps remain. the first is ensuring widespread access to lessons learned among development practitioners to improve their practice. the second is the need to move beyond the identification of problems to the identification of viable solutions good practice through the coupling of empirical and action-oriented research.","pdfs/results/Collective action for poverty reduction/14.txt","8","14","en"
"16","laura german l.german@cgiar.org is a scientist of the forests and governance programme of the center for international forestry research cruciform and a research associate of the african highlands initiative ah","pdfs/results/Collective action for poverty reduction/14.txt","8","14","en"
"20","waga amazement waga96 6@yahoo.com is a researcher in agronomy in the southern agricultural research institute in ethiopia wilberforce airwomen wtirwomwe@yahoo.com is a community development worker with africa 200 0 network, uganda shebeen allele shenkutayele@yahoo.com is a researcher in agricultural extension of ethiopian institute of agricultural research joseph annuitant j.tanui@cgiar.org is a regional research fellow in the african highlands initiative ahi","pdfs/results/Collective action for poverty reduction/14.txt","8","14","en"
"23","hailemichael aye hailat200 3@yahoo.com is a development evaluation specialist with an international development consultancy firm in ethiopia. ","pdfs/results/Collective action for poverty reduction/14.txt","8","14","en"
"113","traditional communal landholding has long been prevalent in the afar region of ethiopia, accommodating the interests of different user groups for many generations. this form of landownership, which entails use of pastoral resources scattered over a wide area to produce livestock, is attributable to ecological conditions characterized by frequent drought. the harsh environment in which herders raise their livestock requires constant mobility to regulate resource utilization via a common property regime. in contrast to the mobile way of life characterizing pastoralism, agriculture as a sedentary activity is only marginally present in the lowlands of the afar region. however, the traditional land use system is changing because of pressures from both governmental policy and natural events such as drought. ","pdfs/results/Collective action for poverty reduction/15.txt","8","15","en"
"44","this study gathered data from 18 0 selected pastoral households in six sites in the afar region of ethiopia in 200 40 6. in addition to household surveys, secondary and detailed qualitative data were collected though group and key-informant interviews; evidence was further strengthened by reviewing secondary sources and conducting expert interviews. analysis shows that the question of whether the recent option of smallscale farming is taken up by pastoralists depends on factors such as suitability of the area for agriculture, per capita livestock holding of a household, access to wage employment, and external support. overall, the study indicates that communal land ownership, which forms the basis for pastoralism, is under pressure as a result of state intervention and natural challenges, confirming results of other studies of pastoral areas. state intervention in the afar region, mainly since the early 1960 s, has produced detrimental effects on pastoralist livelihoods. first, the state expropriated large areas of dry-season rangeland, exacerbating feed scarcity in the area. second, the state enforced the transformation of pastoralism into sedentary farming without taking into account pastoral households capacities to produce crops. development schemes initiated and financed by the state couldn't enhance the capabilities of pastoral households to derive the full benefits of their land. devoid of public participation in their formulation, these schemes paradoxically fostered dependency among pastoralists, which remained even after the schemes ended. third, state intervention created a window of opportunity for some pastoralists, while others, such as women and the poor, were deprived of the benefits of the new arrangements.","pdfs/results/Collective action for poverty reduction/15.txt","8","15","en"
"65","but afar pastoralists are threatened not only by the coercive actions of the state, but also by natural challenges such as recurrent drought. two major droughts have hit the area since the mid-1990 s, and short dry spells are common. this has had two major consequences. first, the prevalence of drought has reduced total livestock assets and productive capacities of the area. and second, it has recalibrated the terms of trade against the pastoralists. assessment reports of aid agencies indicate a sharp decline of livestock prices during the droughts. faced with such natural challenges, pastoral households employ coping strategies which may involve different ways of using the available resources, even looking beyond pastoralism. on the one hand, this natural challenge triggered the intervention of external actors to facilitate cooperation among pastoralists, providing a catalyst for them to take up farming. on the other hand, it increased the pastoralists expectations that they would benefit more by taking advantage of the external assistance and participating in collective efforts. these expectations, realized or not, have produced cooperative decisions toward engaging in organized activities such as farming.","pdfs/results/Collective action for poverty reduction/15.txt","8","15","en"
"83","with regard to the present study, two points are worthy of policy attention.","pdfs/results/Collective action for poverty reduction/15.txt","8","15","en"
"93","1. averting state coercion the coercive expropriation of pastoral land has slowed since 199 1, and afar pastoralists have regained some of their lost rights over their traditional land. however, the current national policies are not immune from the anti-pastoral sentiment. the 200 5 national land use proclamation declares that communal rural land holdings may be converted to private holdings if the government finds it necessary. there is also a plan to expand irrigated land in the awash basin. implementation of such a plan would require evicting pastoralists. current experiences in non-pastoral areas show that undervaluation of land, large variance between what investors pay and what evicts receive, and failure of evicts to start new livelihoods are critical problems associated with the expansion of investments in rural areas of ethiopia. these problems are attributable to a lack of effective institutions and appropriate governance structures, including lack of clear guidelines on land valuation, marginalization of landholders in the process of land transfers, and a weak organizational setup to administer the transformation process.","pdfs/results/Collective action for poverty reduction/15.txt","8","15","en"
"114","2. harmonizing policy emphasis with the potentials of pastoral areas the transformation of property rights due to natural challenges has had important implications for the livelihoods of pastoralists. poor households in terms of livestock assets are more interested in farming compared to better-off ones. decisions of pastoralists toward farming could reflect their reactions toward recurring natural hazards farming is thought to be a post-shock livelihood by households that cannot call upon their pastoral assets post-drought. ","pdfs/results/Collective action for poverty reduction/16.txt","8","16","en"
"115","in ethiopia, much debate and policy advice on agro-pastoralism and pastoralism is based on stereotypical representations of pastoralist areas, the notion among the ruling elite that pastoralism is outdated, and technical interventions that promote sedentarization. a farming highland and pastoralist lowland dichotomy tends to prevail in public discourse. the resulting bias in land tenure policies largely ignores the specificities of the pastoralist lowlands and considers sentimentalization as the precondition of progress. typically, the state aids the expansion of agriculture into the lowlands, but fails to regulate the tenure transformations that accompany the diversification of rural resource use. consequently, property rights are undergoing significant transformation along with economic changes, and land tenure relations are shifting from communal and collective use to enclosed and individual use, to the detriment of the poor. ","pdfs/results/Collective action for poverty reduction/17.txt","8","17","en"
"45","this case study investigates practices of collective action in water resource management of the agriculturalist commons in eastern ethiopia with an emphasis on the following questions  what types of collective action prevail?","pdfs/results/Collective action for poverty reduction/17.txt","8","17","en"
"54"," how do changes in property rights affect incentives for collective action?","pdfs/results/Collective action for poverty reduction/17.txt","8","17","en"
"66"," what are the distributional consequences in the welfare of pastoralist households? ","pdfs/results/Collective action for poverty reduction/17.txt","8","17","en"
"72","the literature on collective action identifies a number of factors that induce cooperative behavior in natural resource management asset ownership, homogeneity of group members, mutual vulnerability of group members, and dependence on the resources. in addition, institutional arrangements penalty systems and rule enforcement can induce cooperative behavior.","pdfs/results/Collective action for poverty reduction/17.txt","8","17","en"
"94","this study focused on three districts in eastern ethiopia that represent different agriculturalist household economies and political settings. data collection employed focus group discussions using rapid rural appraisal techniques, a detailed household survey, and key informant interviews with experts on institutions related to resource governance. a qualitative in-depth analysis of the data looked into the specific factors that affect the rules governing collective action and property rights and the distributional effects of the institutional arrangements. ","pdfs/results/Collective action for poverty reduction/17.txt","8","17","en"
"121","in times of drought crises, pastoralist households seek grazing resources and well water based on kinship relations. however, when an influx of non-members with kin relations becomes common, it reduces incentives for members to contribute to maintenance. collective herding increases the pressure on water wells as noncontributing households water their own livestock with the larger pool of animals.","pdfs/results/Collective action for poverty reduction/17.txt","8","17","en"
"132","because it is almost impossible to exclude nonmembers from using well water, especially during crises, incentives for members to contribute to well management decline the more often crisis situations prevail. ","pdfs/results/Collective action for poverty reduction/17.txt","8","17","en"
"141","cisterns there are marked differences in the case of private and communal cisterns. owners of private cisterns use them to generate revenue users have to pay. in communal cisterns, those who contribute labor gain access, and revenue generated from water sales to non-members is shared among members. the proliferation of private cisterns in the 1980and 1990brought water prices down and reduced incentives to maintain communal cisterns and wells. however, with the gradual decline of communal water points and restrictions on construction of new cisterns, private owners were able to increase prices, and water became unaffordable or unavailable during droughts.","pdfs/results/Collective action for poverty reduction/17.txt","8","17","en"
"151","because de facto privatization provides some individuals with secure access to resources and additional income but excludes others, collective action on a local scale is insufficient to counter the unmaking of the commons. it needs to be complemented by a land tenure policy that ensures the rights of communal users.","pdfs/results/Collective action for poverty reduction/17.txt","8","17","en"
"116","the move to construct private cisterns was a turning point in collective action for joint management of communal water resources. wealthier clan members did not have incentives to contribute to the maintenance of communal water points. in effect, maintenance was relegated to politically or economically less powerful clan members. this transformation of intra-clan responsibilities and duties effectively changed the genealogical and social networks as well as the tight connections between rights and duties that were inherent in customary rules. ","pdfs/results/Collective action for poverty reduction/18.txt","8","18","en"
"24","ponds the construction of water ponds in the study area has been initiated by state-led development interventions. user groups provide labor during construction and for maintenance. non contribution results in oral warnings and fines. however, enforcement is often lax due to social obligations and a reluctance to punish. in principle, all members who have contributed have the right to use water from communal ponds. asset-poor households often rent oxen to ensure their contribution to pond construction. however, not all such households can afford the rental, may thus be unable to derive benefits from their water rights, and are thus effectively excluded from these entitlements.","pdfs/results/Collective action for poverty reduction/18.txt","8","18","en"
"46","the evidence shows that incentives for collective action in managing water systems depend on economic cost-benefit considerations and social norms. exclusion of non-members is difficult to enforce, which reduces the incentives to contribute to collective action in maintaining those systems. elite capture comes at the expense of the poor segments of the clan, which increases economic inequalities within clans.","pdfs/results/Collective action for poverty reduction/18.txt","8","18","en"
"55","the relationship of water and pasture resource use in the agro-pastoral economy, access to water and pasture resources is intertwined. in principle, each clan possesses primary user rights over its own territory and is expected to confine herd movement within this territory under normal conditions. asking permission to use another clans communal grazing and water resources is only considered appropriate when own-clan resources are inadequate due to drought, violent conflict, or subject to prior inter-clan negotiation rituals.","pdfs/results/Collective action for poverty reduction/18.txt","8","18","en"
"67","the right to pasture is not necessarily linked with the right to water points, but generally they are granted in combination excluding access to water while granting access to pasture would make enforcement costs prohibitive and likely create disputes at water points. this differentiates secondary users those wealthy enough to buy water from private cistern owners can make use of the access rights whereas less wealthy households experience an entitlement failure.","pdfs/results/Collective action for poverty reduction/18.txt","8","18","en"
"73","reciprocity and social obligation entrance to another clans territory generally requires prior negotiation, even though the hosting clan is socially inclined to grant access the reciprocity principle. inter-clan kinship relations are important in negotiating and differentiating access to grazing resources, for example if clan members have relatives within other clans with distinct territories. these lineages and networks across clans and sub-clans played an essential role in establishing reciprocity. ","pdfs/results/Collective action for poverty reduction/18.txt","8","18","en"
"84","the spread of private enclosures in some areas has complicated the system of granting access to grazing resources. some clans have subdivided their territory and distributed the land to individual private rights holders, or influential clan members have constructed enclosure fences for cisterns or pasture. as a result, overall communal resources are continuously shrinking, complicating mobility patterns across seasons and years and restricting the options for coping with drought. ","pdfs/results/Collective action for poverty reduction/18.txt","8","18","en"
