"","name","country","legible","results","sentences","page"
"11","Collective action for sustainable development","8","Formal property rights laws on the books often coexist with and differ from locally exercised property rights.the existence of different overlapping arrangements and regulatory frameworks legal pluralism must be taken into account in order to assess their effects on biodiversity conservation. For example, in ethiopia sacred groves managed by the christian coptic churches not only provide landless people with access to nontimber forest products, but also assure protection to areas with some of the highest amounts of biodiversity in the country. **21**",0.540387229075751,"formal property rights laws on the books often coexist with and differ from locally exercised property rights.the existence of different overlapping arrangements and regulatory frameworks legal pluralism must be taken into account in order to assess their effects on biodiversity conservation. for example, in ethiopia sacred groves managed by the christian coptic churches not only provide landless people with access to nontimber forest products, but also assure protection to areas with some of the highest amounts of biodiversity in the country.","21"
"12","Collective action for sustainable development","8","Some governments provide tacit recognition of pastoral communities use rights and their potential for informally operating grazing networks.this tacit recognition, however, gives pastoralists only a limited role in management and investment decisions and an even smaller role in deciding on the evolution of property rights. Often users do not have the right to reallocate common land to alternative activities like cropping or reserves, a situation that limits the capacity of pastoralists to respond to local conditions. By appropriating pastoral resources and limiting the role of local-level pastoral institutions, state ownership has often fostered land use conflicts and the breakdown of collective action within and across pastoral groups. In particular, where the state claimed ownership but expended limited resources to manage rangelands or relied on bureaucrats to implement management schemes without knowledge of local resources and institutions, many land use conflicts have arisen and resources have become degraded. **19**",0.538156192123992,"some governments provide tacit recognition of pastoral communities use rights and their potential for informally operating grazing networks.this tacit recognition, however, gives pastoralists only a limited role in management and investment decisions and an even smaller role in deciding on the evolution of property rights. often users do not have the right to reallocate common land to alternative activities like cropping or reserves, a situation that limits the capacity of pastoralists to respond to local conditions. by appropriating pastoral resources and limiting the role of local level pastoral institutions, state ownership has often fostered land use conflicts and the breakdown of collective action within and across pastoral groups. in particular, where the state claimed ownership but expended limited resources to manage rangelands or relied on bureaucrats to implement management schemes without knowledge of local resources and institutions, many land use conflicts have arisen and resources have become degraded.","19"
"13","Collective action for sustainable development","8","The coexistence of these laws does not mean that all laws are equal or equally powerful. Each is only as strong as the institution that stands behind it. Often state law is more powerful and used by government officials, for example, to declare and enforce forests as state property. Statutory law is also used by powerful outsiders, such as logging companies with concessions in customary lands, to claim resources in ways that are not locally recognized as legitimate. On the other hand, actions of local communities, such as petitions, demonstrations, and roadblocks, are ways of claiming locally recognized rights as well as seeking recognition of their rights by the state. **7**",0.53704757762112,"the coexistence of these laws does not mean that all laws are equal or equally powerful. each is only as strong as the institution that stands behind it. often state law is more powerful and used by government officials, for example, to declare and enforce forests as state property. statutory law is also used by powerful outsiders, such as logging companies with concessions in customary lands, to claim resources in ways that are not locally recognized as legitimate. on the other hand, actions of local communities, such as petitions, demonstrations, and roadblocks, are ways of claiming locally recognized rights as well as seeking recognition of their rights by the state.","7"
"14","Collective action for sustainable development","8","In summary, state ownership often does not promote community stewardship and thus limits collective action and incentives for members to manage their resources effectively and make long-term investments. Competing claims between pastoral communities and states has created situations of confusion and open access, leading many pastoralists to challenge both state and traditional range management rules and activities and in some cases to illegally appropriate common rangelands. **20**",0.535794249041271,"in summary, state ownership often does not promote community stewardship and thus limits collective action and incentives for members to manage their resources effectively and make long term investments. competing claims between pastoral communities and states has created situations of confusion and open access, leading many pastoralists to challenge both state and traditional range management rules and activities and in some cases to illegally appropriate common rangelands.","20"
"15","Collective action for sustainable development","8","They may hold land under customary tenure systems unrecognized by the state, with no legal basis for resisting the claim of the official or merchant who one day appears on their land with a title document granted by the national government. **33**",0.534315630557661," they may hold land under customary tenure systems unrecognized by the state, with no legal basis for resisting the claim of the official or merchant who one day appears on their land with a title document granted by the national government.","33"
"16","Collective action for sustainable development","8","Nonetheless, a number of different institutional arrangements have been introduced to manage some of these costs, including the granting of common use rights to communities or cooperatives, grazing licenses, and leaseholds. **19**",0.533787524473762,"nonetheless, a number of different institutional arrangements have been introduced to manage some of these costs, including the granting of common use rights to communities or cooperatives, grazing licenses, and leaseholds.","19"
"17","Guidelines on land policy in africa","8","Major continual challenge which evolving land policies have to face, especially in sub-saharan africa, is the need to blend tradition and modernity in land rights regimes. In this respect land policies should seek to remove age-old rigidities in traditional structures and systems which tend to discriminate against women while at the same time building on and thereby improving indigenous tenure arrangements. In thus acknowledging the legitimacy of indigenous land rights, land policy processes must also recognize the role of local and community-based land administration management institutions and structures, alongside those of the state. Land policy processes should also seek to provide for the necessary interface between state and indigenous systems, particularly with regard to the certification of land rights, the empowerment of decentralized institutions in land rights administration, and the management of land as a resource at the local level. Colonial legacies which tended to denigrate indigenous land rights systems and suppress and sabotage their evolution and which ignored community land administration structures must now give way to new and innovative policies including the provision of statutory frameworks for the documentation and codification of informal land rights regimes. It is encouraging that a number of african countries including ethiopia, southern sudan, ghana and the pastoral communities of the shale are already moving in this direction. **32**",0.571659058226693,"a major continual challenge which evolving land policies have to face, especially in sub saharan africa, is the need to blend tradition and modernity in land rights regimes. in this respect land policies should seek to remove age old rigidities in traditional structures and systems which tend to discriminate against women while at the same time building on and thereby improving indigenous tenure arrangements. in thus acknowledging the legitimacy of indigenous land rights, land policy processes must also recognize the role of local and community based land administration management institutions and structures, alongside those of the state. land policy processes should also seek to provide for the necessary interface between state and indigenous systems, particularly with regard to the certification of land rights, the empowerment of decentralized institutions in land rights administration, and the management of land as a resource at the local level. colonial legacies which tended to denigrate indigenous land rights systems and suppress and sabotage their evolution and which ignored community land administration structures must now give way to new and innovative policies including the provision of statutory frameworks for the documentation and codification of informal land rights regimes. it is encouraging that a number of african countries including ethiopia, southern sudan, ghana and the pastoral communities of the shale are already moving in this direction.","32"
"18","Guidelines on land policy in africa","8","Major and continual challenge which land policy development on the continent faces is the need to recognize the legitimacy of and improve on the role and operation of indigenous structures, institutions and land rights regimes and to provide a necessary interface between them and state-led systems of land management and administrations. In doing so it is imperative that the issue of equal access to and representation on all structures that are responsible for land management and administration are addressed. This is particularly critical since many indigenous land management structures do not allow any or sufficient womens representations. This is all the more necessary in the context of land policies which seek the documentation of land rights, the empowerment of decentralized institutions in the administration of land at the local level and the provision of statutory frameworks for the evolution of informal land rights systems. **44**",0.550563593393201,"a major and continual challenge which land policy development on the continent faces is the need to recognize the legitimacy of and improve on the role and operation of indigenous structures, institutions and land rights regimes and to provide a necessary interface between them and state led systems of land management and administrations. in doing so it is imperative that the issue of equal access to and representation on all structures that are responsible for land management and administration are addressed. this is particularly critical since many indigenous land management structures do not allow any or sufficient womens representations. this is all the more necessary in the context of land policies which seek the documentation of land rights, the empowerment of decentralized institutions in the administration of land at the local level and the provision of statutory frameworks for the evolution of informal land rights systems.","44"
"19","Guidelines on land policy in africa","8","Provision of secure access to land through various forms of tenure will facilitate economic opportunity and livelihood security for all land users. Tenure reforms accompanied where necessary with programmes of land redistribution will improve access to land and confer security for vulnerable groups, especially women who constitute most of the urban and rural poor. Addressing the issue of tenure security is particularly important if the cycle of dependency and systemic and institutional poverty among these groups is to be broken and if women are to be protected against the tendency towards high risk behaviours especially in times of crises caused by pandemics such as handmaids and persistent conflicts in africa. The choice of which tenure systems to adopt will depend on the specific context and production system in operation in each country. **33**",0.535002173548413,"provision of secure access to land through various forms of tenure will facilitate economic opportunity and livelihood security for all land users. tenure reforms accompanied where necessary with programmes of land redistribution will improve access to land and confer security for vulnerable groups, especially women who constitute most of the urban and rural poor. addressing the issue of tenure security is particularly important if the cycle of dependency and systemic and institutional poverty among these groups is to be broken and if women are to be protected against the tendency towards high risk behaviours especially in times of crises caused by pandemics such as handmaids and persistent conflicts in africa. the choice of which tenure systems to adopt will depend on the specific context and production system in operation in each country.","33"
"20","Guidelines on land policy in africa","8","An important factor in land administration is to foster good governance of land, natural resources and processes of land use change. Land governance refers to the processes by which decisions regarding access to, and use of, land are made, the manner in which those decisions are implemented, and the way in with conflicting interests in land are resolved or reconciled. Land governance is thus a techno-legal, procedural and political exercise. This is because the process of allocation and enjoyment of land rights cannot be separated from the civil, political and human rights, of the citizenry and are dependent on the political, administrative and professional will to ensure fair treatment and equal opportunities for all. In addition because land governance entails control over land rights it is, in many african countries, a means of accumulating and dispensing political and economic power and privilege through patronage, nepotism and corruption. **38**",0.532324312125543,"an important factor in land administration is to foster good governance of land, natural resources and processes of land use change. land governance refers to the processes by which decisions regarding access to, and use of, land are made, the manner in which those decisions are implemented, and the way in with conflicting interests in land are resolved or reconciled. land governance is thus a techno legal, procedural and political exercise. this is because the process of allocation and enjoyment of land rights cannot be separated from the civil, political and human rights, of the citizenry and are dependent on the political, administrative and professional will to ensure fair treatment and equal opportunities for all. in addition because land governance entails control over land rights it is, in many african countries, a means of accumulating and dispensing political and economic power and privilege through patronage, nepotism and corruption. ","38"
"21","Political economy of reforestation","8","For redd+ to succeed, forest and land rights for rural communities must be clear and must be dependable under national law. Given the diversity of institutional arrangements and the large number of claims being made, achieving clear rights in situations which have hitherto been governed under informal common property regimes will undoubtedly take time and resources. If it is to be fair, the process must not be hurried and must be supported by technical resources and funding. Given the fundamental importance of clear land and property rights in achieving desirable forest outcomes, it is justified to use redd+ funds to support broader processes of tenure reform and rationalization of state-controlled forest zones. **9**",0.534233961789145,"for redd+ to succeed, forest and land rights for rural communities must be clear and must be dependable under national law. given the diversity of institutional arrangements and the large number of claims being made, achieving clear rights in situations which have hitherto been governed under informal common property regimes will undoubtedly take time and resources. if it is to be fair, the process must not be hurried and must be supported by technical resources and funding. given the fundamental importance of clear land and property rights in achieving desirable forest outcomes, it is justified to use redd+ funds to support broader processes of tenure reform and rationalization of state controlled forest zones.","9"
