"","sentences","name","country","page","languages","legible","results"
"17","the indian government accords high priority to integrated watershed management programs, especially in rain fed and drought prone areas. investment in integrated watershed management requires cooperation among stakeholders at different levels. the ability of communities to initiate and sustain collective action often depends on internal socioeconomic characteristics and the biophysical and socioeconomic setting. there is a lack of knowledge of the factors that influence the level and effectiveness of collective action within the context of community watershed programs. this study uses socioeconomic data from 8 7 watershed villages in six districts of rand pradesh, india, to develop indicators for the degree of collective action and examine its potential determinants. the study provides useful insights on how community institutions determine the level of collective action in watershed management and how such collective action is related to the overall performance and effectiveness of watershed interventions. ","Collective action for poverty reduction","8","11","en","The indian government accords high priority to integrated watershed management programs, especially in rain-fed and drought-prone areas. Investment in integrated watershed management requires cooperation among stakeholders at different levels. The ability of communities to initiate and sustain collective action often depends on internal socioeconomic characteristics and the biophysical and socioeconomic setting. There is a lack of knowledge of the factors that influence the level and effectiveness of collective action within the context of community watershed programs. This study uses socioeconomic data from 87 watershed villages in six districts of rand pradesh, india, to develop indicators for the degree of collective action and examine its potential determinants. The study provides useful insights on how community institutions determine the level of collective action in watershed management and how such collective action is related to the overall performance and effectiveness of watershed interventions.",0.407230375086181
"31","some of the investment activities of watershed management include construction of check dams for infiltrating surface water, terraces for soil and water conservation, and tree planting. watershed management potentially provides livelihood support for socially complex and diverse groups with differing entitlements and rights of access and use of resources. sustainable management of such resources requires institutional mechanisms for fostering cooperation and coordination of the resource use and investment decisions among diverse stakeholders. ","Collective action for poverty reduction","8","11","en","Some of the investment activities of watershed management include construction of check-dams for infiltrating surface water, terraces for soil and water conservation, and tree planting. Watershed management potentially provides livelihood support for socially complex and diverse groups with differing entitlements and rights of access and use of resources. Sustainable management of such resources requires institutional mechanisms for fostering cooperation and coordination of the resource use and investment decisions among diverse stakeholders.",0.397967522710385
"41","this study identifies two main components of collective action needed for the effectiveness of watershed management interventions. first are enabling institutions that enforce rules for operation and management of the various common assets and structures. these rules include mechanisms for conflict resolution, regulation of behavior, and agreed norms for sharing costs and benefits. second is organizational performance   local mechanisms for coordination and implementation of watershed activities, including user groups, committees, and associations that determine the objectives and basic structure of authority and decision making. the level of collective action therefore defines the ability of the community to create operational frameworks to achieve the goals pursued by the community.","Collective action for poverty reduction","8","11","en","This study identifies two main components of collective action needed for the effectiveness of watershed management interventions. First are enabling institutions that enforce rules for operation and management of the various common assets and structures. These rules include mechanisms for conflict resolution, regulation of behavior, and agreed norms for sharing costs and benefits. Second is organizational performance - local mechanisms for coordination and implementation of watershed activities, including user groups, committees, and associations that determine the objectives and basic structure of authority and decision-making. The level of collective action therefore defines the ability of the community to create operational frameworks to achieve the goals pursued by the community.",0.39848574535421
"61","standard data collection instruments were used at the community level to collect information from leaders, user groups, and key informants in each of the 8 7 watershed villages. data included a range of issues that characterized the village and the watershed groups. this included multiple indicators for the level and success of collective action. the indicators span the types of group actions described above and are aggregated to develop indices of the level and effectiveness of collective action. using these indices, the analysis investigates the determinants of the level of collective action and how this in turn influences its effectiveness in terms of changes in natural resource conditions and livelihoods of resource users. along with other factors hypothesized to influence the success of collective action, the study analyzes how various facets of collective action determine outcomes such as improvement in soil and water conditions, and other natural resources on private and common lands. ","Collective action for poverty reduction","8","11","en","Standard data collection instruments were used at the community level to collect information from leaders, user groups, and key informants in each of the 87 watershed villages. Data included a range of issues that characterized the village and the watershed groups. This included multiple indicators for the level and success of collective action. The indicators span the types of group actions described above and are aggregated to develop indices of the level and effectiveness of collective action. Using these indices, the analysis investigates the determinants of the level of collective action and how this in turn influences its effectiveness in terms of changes in natural resource conditions and livelihoods of resource users. Along with other factors hypothesized to influence the success of collective action, the study analyzes how various facets of collective action determine outcomes such as improvement in soil and water conditions, and other natural resources on private and common lands.",0.357201516842473
"7","this first stage effect of collective action is captured by constructing an aggregate performance index for diverse outcomes defining changes in resource conditions and benefits derived from watershed management activities. in the second stage, collective action in watershed management is expected to improve the well being of the community and participants. this is the key incentive for stimulating greater participation and private and community investments in watershed activities. to measure this effect, information solicited from communities on various indicators of poverty and welfare changes within the watershed is used. these changes are those that respondents consider to be primarily attributable or driven by the integrated watershed management interventions. the study then tests whether the level of collective action in fact is associated with these positive welfare changes within the community. ","Collective action for poverty reduction","8","11","en","This first-stage effect of collective action is captured by constructing an aggregate performance index for diverse outcomes defining changes in resource conditions and benefits derived from watershed management activities. In the second stage, collective action in watershed management is expected to improve the well being of the community and participants. This is the key incentive for stimulating greater participation and private and community investments in watershed activities. To measure this effect, information solicited from communities on various indicators of poverty and welfare changes within the watershed is used. These changes are those that respondents consider to be primarily attributable or driven by the integrated watershed management interventions. The study then tests whether the level of collective action in fact is associated with these positive welfare changes within the community.",0.424218409148849
"18","level of collective action two sets of variables that capture the level of collective action in watershed management activities are considered. the index for enabling institutions includes rules adopted by the watershed community, percentage of watershed association members making cash and labor contributions, and attendance of meetings and fund raising events. the organizational performance index includes proportion of smoothly running user groups, self help groups, number of watershed association meetings per year, and percentage of members attending meetings.","Collective action for poverty reduction","8","12","en","Level of collective action two sets of variables that capture the level of collective action in watershed management activities are considered. The index for enabling institutions includes rules adopted by the watershed community, percentage of watershed association members making cash and labor contributions, and attendance of meetings and fund-raising events. The organizational performance index includes proportion of smoothly running user groups, self-help groups, number of watershed association meetings per year, and percentage of members attending meetings.",0.301462828947928
"22","success of collective action a mix of quantitative and qualitative indicators measures the effectiveness of collective action in watershed management in terms of achieving various community objectives, including number of improved or well managed communal tube drill and open wells, check dams, ponds, tanks, area of community forests, and share of communal and private land treated with collective conservation practices. in the second level of the analysis, seven indicators capture the changes in the level of asset endowments or poverty profiles in the surveyed communities, including increases in the number of households owning livestock and land, self sufficiency in food staples, income growth, and reduction in seasonal and permanent outmigration.","Collective action for poverty reduction","8","12","en","Success of collective action a mix of quantitative and qualitative indicators measures the effectiveness of collective action in watershed management in terms of achieving various community objectives, including number of improved or well-managed communal tube drill and open wells, check-dams, ponds, tanks, area of community forests, and share of communal and private land treated with collective conservation practices. In the second level of the analysis, seven indicators capture the changes in the level of asset endowments or poverty profiles in the surveyed communities, including increases in the number of households owning livestock and land, self-sufficiency in food staples, income growth, and reduction in seasonal and permanent outmigration.",0.362301300950716
"51","changes in watershed natural resource stocks did not have a significant effect on changes in household welfare, indicating that the indirect effects of collective action on the poorest segments of the community are still limited. this offers evidence that the links between collective action and poverty are not always straightforward as distribution of rights and other factors will condition how effectively the poor may benefit from improved natural resource conditions within the watershed.","Collective action for poverty reduction","8","12","en","Changes in watershed natural resource stocks did not have a significant effect on changes in household welfare, indicating that the indirect effects of collective action on the poorest segments of the community are still limited. This offers evidence that the links between collective action and poverty are not always straightforward as distribution of rights and other factors will condition how effectively the poor may benefit from improved natural resource conditions within the watershed.",0.439748156341238
"62","overall, the results indicate that collective action has made a significant contribution in terms of improving the investment and management of critical jointly held natural resource assets, but evidence is still lacking on its effects on improving the asset endowments of the resource poor and reducing poverty levels within the semi arid watershed villages included in this study. to improve active participation of the resource users and the poverty impacts of watershed programs, there is a need to promote pro poor interventions and institutional arrangements that enhance equitable sharing of both costs and benefits. future research needs to investigate how effective local institutions for watershed collective action emerge and how such institutions adapt during the post project phase and influence the propensity for sustainable community management of local investments. without effective and adaptable local institutions, the long term sustainability of watershed investments will remain questionable.","Collective action for poverty reduction","8","12","en","Overall, the results indicate that collective action has made a significant contribution in terms of improving the investment and management of critical jointly held natural resource assets, but evidence is still lacking on its effects on improving the asset endowments of the resource poor and reducing poverty levels within the semi-arid watershed villages included in this study. To improve active participation of the resource users and the poverty impacts of watershed programs, there is a need to promote pro poor interventions and institutional arrangements that enhance equitable sharing of both costs and benefits. Future research needs to investigate how effective local institutions for watershed collective action emerge and how such institutions adapt during the post-project phase and influence the propensity for sustainable community management of local investments. Without effective and adaptable local institutions, the long-term sustainability of watershed investments will remain questionable.",0.479921254745903
"19","despite increased awareness of the institutional founda tions of development and natural resource management, development and conservation interventions continue to be carried out with an uncritical view of equity issues. the shortcomings lie not only with practitioners, but within research as well. research on the institutional dimensions of development and rm continues to emphasize problems rather than solutions. this research tries to address these shortcomings by integrating institutional analysis for problem identification and targeting of interventions with institutional interventions for development of good practice. ","Collective action for poverty reduction","8","13","en","Despite increased awareness of the institutional founda-tions of development and natural resource management, development and conservation interventions continue to be carried out with an uncritical view of equity issues. The shortcomings lie not only with practitioners, but within research as well. Research on the institutional dimensions of development and RM continues to emphasize problems rather than solutions. This research tries to address these shortcomings by integrating institutional analysis for problem identification and targeting of interventions with institutional interventions for development of good practice.",0.411240792292065
"33","the research was conducted under the rubric of the african highlands initiative ahi, an eco regional program of the cgiar, which aims to improve livelihoods and arrest natural resource degradation in the intensively cultivated highlands of eastern and central africa. ah works with interdisciplinary teams of scientists and development partners to field test new approaches and synthesize results regionally. unlike watershed management programs that focus primarily on soil and water conservation, ah fosters an approach to integrate all components of the production system and landscape. this requires that trade offs and synergies between diverse goals be made explicit and managed. it also acknowledges that rm is inherently political decisions about which management goals to foster lead to unequal benefits and often favor some groups at the expense of others.","Collective action for poverty reduction","8","13","en","The research was conducted under the rubric of the african highlands initiative ahi, an eco-regional program of the cgiar, which aims to improve livelihoods and arrest natural resource degradation in the intensively cultivated highlands of eastern and central africa. Ah works with interdisciplinary teams of scientists and development partners to field test new approaches and synthesize results regionally. Unlike watershed management programs that focus primarily on soil and water conservation, ah fosters an approach to integrate all components of the production system and landscape. This requires that trade offs and synergies between diverse goals be made explicit and managed. It also acknowledges that RM is inherently political decisions about which management goals to foster lead to unequal benefits and often favor some groups at the expense of others.",0.372001656908967
"42","this study reports on findings from the institutional research associated with integrated social, biophysical, and institutional interventions. the primary objective was to develop and document successful approaches for facilitating equitable collective action processes and negotiated rm solutions.","Collective action for poverty reduction","8","13","en","This study reports on findings from the institutional research associated with integrated social, biophysical, and institutional interventions. The primary objective was to develop and document successful approaches for facilitating equitable collective action processes and negotiated RM solutions.",0.371932586233121
"52","the research was conducted in four sites, two in ethiopia and two in uganda. all are highland micro watersheds characterized by smallholder farming systems, high population density, clear evidence of natural resource degradation, and their representativeness of larger highland areas within each country. these sites have each served for 51 0 years as benchmark sites for the ahi. each site is home to one or more ethnic groups with a long history of occupation of the area and limited in migration from other groups or areas. ","Collective action for poverty reduction","8","13","en","The research was conducted in four sites, two in ethiopia and two in uganda. All are highland micro-watersheds characterized by smallholder farming systems, high population density, clear evidence of natural resource degradation, and their representativeness of larger highland areas within each country. These sites have each served for 510 years as benchmark sites for the ahi. Each site is home to one or more ethnic groups with a long history of occupation of the area and limited in-migration from other groups or areas.",0.2774208020683
"63","in each site, the research began with a situation analysis, using focus group discussions to identify local and external institutions and the participants, beneficiaries, and nature of benefits derived from each. household interviews were then used to quantify levels and variation in household assets and participation or involvement with local and external institutions. second, site and national stakeholder workshops were conducted to share findings and determine action research priorities. the workshops shared feedback from the situation analysis, identified and prioritized rm issues requiring collective action and changes in institutional practice, and developed preliminary action plans for prioritized topics. third, site teams conducted action research both local and higher levelto test strategies to support solutions to identified problems. the final step was to evaluate outcomes and impacts from the action research intervention through a participatory methodology.","Collective action for poverty reduction","8","13","en","In each site, the research began with a situation analysis, using focus group discussions to identify local and external institutions and the participants, beneficiaries, and nature of benefits derived from each. Household interviews were then used to quantify levels and variation in household assets and participation or involvement with local and external institutions. Second, site and national stakeholder workshops were conducted to share findings and determine action research priorities. The workshops shared feedback from the situation analysis, identified and prioritized RM issues requiring collective action and changes in institutional practice, and developed preliminary action plans for prioritized topics. Third, site teams conducted action research both local and higher-levelto test strategies to support solutions to identified problems. The final step was to evaluate outcomes and impacts from the action research intervention through a participatory methodology.",0.343348098468583
"81","local communities were found to have a rich array of collective action institutions, which in turn provide a variety of economic and social support functions. while some of these were seen to support some groups more than others, most forms of collective action were found to play largely positive roles. however, practices of formal support agencies were found to be biased by wealth, gender, levels of political influence, and other factors, exacerbating inequities over time. ","Collective action for poverty reduction","8","13","en","Local communities were found to have a rich array of collective action institutions, which in turn provide a variety of economic and social support functions. While some of these were seen to support some groups more than others, most forms of collective action were found to play largely positive roles. However, practices of formal support agencies were found to be biased by wealth, gender, levels of political influence, and other factors, exacerbating inequities over time.",0.409307900865971
"91","local forms of collective action seldom emphasize common solutions to felt rm problems, other than provision of inputs labor, capital, land. action research findings have illustrated the potential for improving livelihoods and fostering more sustainable use of natural resources by catalyzing collective action on rm where it is absent. effective collective action seems to require use of both informal negotiation support processes and formal bylaw reforms and enforcement. negotiated solutions and bylaw reforms create stakeholder buy in, which reduces ambiguity and makes people feel more accountable to other parties when brought to account for their actions. a combination of formal and informal mechanisms seems to be needed to revitalize natural resource governance and related livelihood and environmental service outcomes. external agents such as ngos or local government also have an important role to play, including information provision, community mobilization, facilitation, advocacy, monitoring, and negotiation support. ","Collective action for poverty reduction","8","13","en","Local forms of collective action seldom emphasize common solutions to felt RM problems, other than provision of inputs labor, capital, land. Action research findings have illustrated the potential for improving livelihoods and fostering more sustainable use of natural resources by catalyzing collective action on RM where it is absent. Effective collective action seems to require use of both informal negotiation support processes and formal bylaw reforms and enforcement. Negotiated solutions and bylaw reforms create stakeholder buy-in, which reduces ambiguity and makes people feel more accountable to other parties when brought to account for their actions. A combination of formal and informal mechanisms seems to be needed to revitalize natural resource governance and related livelihood and environmental service outcomes. External agents such as ngos or local government also have an important role to play, including information provision, community mobilization, facilitation, advocacy, monitoring, and negotiation support.",0.460882701826774
"101","strategies to improve rm at farm and landscape levels proved to be more effective when more equitable decisionmaking processes were used that explicitly acknowledge diverse stakes. however, given the divergence of these stakes, bylaws also played a fundamental role in holding each party accountable to resolutions reached through negotiations. ","Collective action for poverty reduction","8","13","en","Strategies to improve RM at farm and landscape levels proved to be more effective when more equitable decisionmaking processes were used that explicitly acknowledge diverse stakes. However, given the divergence of these stakes, bylaws also played a fundamental role in holding each party accountable to resolutions reached through negotiations.",0.261334188097832
"111","external development institutions often unintentionally increase existing inequities by working only with active community members and failing to establish mechanisms for equitable access to project benefits. innovations to identify and overcome these biases are sorely needed.","Collective action for poverty reduction","8","13","en","External development institutions often unintentionally increase existing inequities by working only with active community members and failing to establish mechanisms for equitable access to project benefits. Innovations to identify and overcome these biases are sorely needed.",0.511230036932315
"110","adapting bylaws to local conditions and stakeholder priorities also induced marked livelihood improvements by enabling collective action and technology adoption. however, participatory bylaw negotiations did not reduce the need for bylaw enforcement. rather, participation made offenders feel more responsible to agreements once accused, increasing the effectiveness of informal efforts to increase compliance. ","Collective action for poverty reduction","8","14","en","Adapting bylaws to local conditions and stakeholder priorities also induced marked livelihood improvements by enabling collective action and technology adoption. However, participatory bylaw negotiations did not reduce the need for bylaw enforcement. Rather, participation made offenders feel more responsible to agreements once accused, increasing the effectiveness of informal efforts to increase compliance.",0.395803942415888
"34"," collective action serves critical development and social support functions in local communities. external institutions should seek to build upon local institutions that contribute most to livelihood goals, in particular for women and poorer households. part of this effort should be oriented toward linking technology dissemination with low risk forms of credit and diversification of assets of the poor.","Collective action for poverty reduction","8","14","en","Collective action serves critical development and social support functions in local communities. External institutions should seek to build upon local institutions that contribute most to livelihood goals, in particular for women and poorer households. Part of this effort should be oriented toward linking technology dissemination with low-risk forms of credit and diversification of assets of the poor.",0.50660042628406
"43"," external development institutions often unintentionally increase existing inequities by working only with active community members and failing to establish mechanisms for equitable access to project benefits. innovations to identify and overcome these biases and socially disaggregated monitoring of interventions are sorely needed.","Collective action for poverty reduction","8","14","en","External development institutions often unintentionally increase existing inequities by working only with active community members and failing to establish mechanisms for equitable access to project benefits. Innovations to identify and overcome these biases and socially-disaggregated monitoring of interventions are sorely needed.",0.499487833266786
"53"," local forms of collective action emphasize enhancing buying power and safety net functions, leaving many common rm problems unaddressed. external support for horizontal negotiations among local resource users is needed to support collective solutions to rm problems that remain unaddressed despite their negative livelihood consequences.","Collective action for poverty reduction","8","14","en","Local forms of collective action emphasize enhancing buying power and safety net functions, leaving many common RM problems unaddressed. External support for horizontal negotiations among local resource users is needed to support collective solutions to RM problems that remain unaddressed despite their negative livelihood consequences.",0.439740020015547
"64"," extension and development organizations must consider the political dimensions of nrm. there are winners and losers from any given development intervention, and there are diverse interests and stakes on any given issue. organizations must therefore learn to foster more equitable solutions to development and rm challenges through stakeholder identification, negotiation support, and socially disaggregated monitoring of interventions.","Collective action for poverty reduction","8","14","en","Extension and development organizations must consider the political dimensions of nrm. There are winners and losers from any given development intervention, and there are diverse interests and stakes on any given issue. Organizations must therefore learn to foster more equitable solutions to development and RM challenges through stakeholder identification, negotiation support, and socially-disaggregated monitoring of interventions.",0.420984740484415
"71"," ngos, local government, and other development actors need to get involved in natural resource policy formulation and implementation processes. their facilitation skills are important for fostering more equitable and participatory natural resource governance processes since there are close links between negotiation support, technological innovation, and rules and regulations on nrm.","Collective action for poverty reduction","8","14","en","Ngos, local government, and other development actors need to get involved in natural resource policy formulation and implementation processes. Their facilitation skills are important for fostering more equitable and participatory natural resource governance processes since there are close links between negotiation support, technological innovation, and rules and regulations on nrm.",0.397507744302664
"82"," fostering collective action to address felt community needs requires informal negotiation support, formal bylaw reforms, and forms of enforcement adapted to local social realities. participatory bylaw reforms create stakeholder buy in, which reduces the cost of enforcement and reduces ambiguity. neither formal nor informal mechanisms would be fully effective without the other.","Collective action for poverty reduction","8","14","en","Fostering collective action to address felt community needs requires informal negotiation support, formal bylaw reforms, and forms of enforcement adapted to local social realities. Participatory bylaw reforms create stakeholder buy-in, which reduces the cost of enforcement and reduces ambiguity. Neither formal nor informal mechanisms would be fully effective without the other.",0.480001081179009
